Date,Open,Close,High,Low,Volume
2014-09-19,92.70,93.89,99.70,89.95,271879435
2014-09-22,92.70,89.89,92.95,89.50,66657827
2014-09-23,88.94,87.17,90.48,86.62,39009788
2014-09-24,88.47,90.57,90.57,87.22,32088108
2014-09-25,91.09,88.92,91.50,88.50,28597506
2014-09-26,89.73,90.46,90.46,88.66,18339716
2014-09-29,89.62,88.75,89.70,88.02,25302002
2014-09-30,89.00,88.85,90.88,88.46,24419426
2014-10-01,88.70,86.10,88.94,86.04,24029603
2014-10-02,86.27,87.06,88.20,85.61,21469688
2014-10-03,88.10,88.10,89.94,87.65,18485725
2014-10-06,89.15,88.31,89.65,88.06,9276113
2014-10-07,87.95,87.67,89.70,87.06,12791745
2014-10-08,88.00,88.30,88.50,87.06,10259807
2014-10-09,88.51,88.79,90.35,88.00,21506963
2014-10-10,88.25,85.88,88.74,85.24,15431445
2014-10-13,86.85,85.12,86.89,84.92,14845004
2014-10-14,85.81,84.95,85.88,83.22,15567286
2014-10-15,84.04,85.60,86.49,82.81,16824274
2014-10-16,84.98,88.85,89.18,84.02,15231729
2014-10-17,90.40,87.91,90.90,87.67,17360731
2014-10-20,88.00,88.26,89.50,87.86,9891384
2014-10-21,89.10,90.90,92.50,88.50,23243839
2014-10-22,92.25,91.63,93.50,91.01,20364544
2014-10-23,92.92,94.45,94.70,92.82,20640967
2014-10-24,95.07,95.76,98.00,94.78,32132556
2014-10-27,97.00,97.79,98.85,96.30,28302370
2014-10-28,99.84,99.68,100.67,98.61,32127642
2014-10-29,99.88,98.31,100.00,96.82,28655356
2014-10-30,98.48,98.73,99.44,97.30,15484601
2014-10-31,100.10,98.60,100.22,98.14,18128280
2014-11-03,99.67,101.80,102.80,99.05,40883730
2014-11-04,100.43,106.07,106.36,99.51,67814005
2014-11-05,108.48,108.67,110.14,106.48,48344248
2014-11-06,109.30,111.57,111.70,107.21,33608596
2014-11-07,112.93,114.56,114.77,111.75,51457292
2014-11-10,117.27,119.15,119.45,115.20,75970621
2014-11-11,117.25,114.54,117.55,113.69,71152418
2014-11-12,115.05,118.20,119.07,114.02,53908024
